label	area	mean	intden	rawintden
control_004.nd2 - C=3-1	372.595	413.475	154058.827	26344971
control_005.nd2 - C=3-1	210.297	435.631	91611.766	15666154
control_007.nd2 - C=3-1	569.466	461.733	262941.34	44964525
control_008.nd2 - C=3-1	569.091	422.488	240434.323	41115692
control_009.nd2 - C=3-1	151.053	415.862	62817.318	10742133
control_009.nd2 - C=3-2	683.953	418.675	286354.302	48968280
control_009.nd2 - C=3-3	279.78	414.735	116034.599	19842603
control_009.nd2 - C=3-4	96.962	411.346	39884.737	6820526
control_011.nd2 - C=3-1	366.245	510.572	186994.319	31977135
control_012.nd2 - C=3-1	249.863	417.455	104306.437	17837018
control_013.nd2 - C=3-1	210.466	411.378	86581.349	14805923
control_014.nd2 - C=3-1	513.737	489.746	251600.686	43025206
control_014.nd2 - C=3-2	442.751	453.255	200679.032	34317302
control_015.nd2 - C=3-1	553.531	782.784	433294.662	74095951
control_016.nd2 - C=3-1	2610.471	424.433	1107969.427	189469328
control_017.nd2 - C=3-1	536.952	468.449	251534.489	43013886
control_019.nd2 - C=3-1	634.329	449.492	285125.911	48758218
control_020.nd2 - C=3-1	623.686	439.848	274327.303	46911592
control_021.nd2 - C=3-1	254.816	470.57	119908.576	20505076
control_021.nd2 - C=3-2	101.833	422.981	43073.346	7365797
control_022.nd2 - C=3-1	176.117	481.446	84790.61	14499696
control_023.nd2 - C=3-2	158.217	447.114	70740.845	12097103
control_023.nd2 - C=3-3	151.293	446.029	67481.144	11539675
control_024.nd2 - C=3-1	516.421	448.819	231779.687	39635698
cm12_001.nd2 - C=3-1	499.293	466.541	232940.665	39834232
cm12_002.nd2 - C=3-1	575.249	663.552	381707.423	65274228
cm12_003.nd2 - C=3-1	1161.036	670.656	778655.6	133154715
cm12_004.nd2 - C=3-1	320.235	528.425	169220.01	28937623
cm12_005.nd2 - C=3-1	336.538	481.99	162208.048	27738536
cm12_007.nd2 - C=3-1	489.428	556.285	272261.251	46558285
cm12_008.nd2 - C=3-1	247.898	615.134	152490.513	26076780
cm12_009.nd2 - C=3-1	777.476	584.832	454692.798	77755159
cm12_010.nd2 - C=3-1	230.349	473.866	109154.381	18666045
cm12_011.nd2 - C=3-1	119.926	531.54	63745.35	10900832
cm12_012.nd2 - C=3-1	415.202	516.502	214452.731	36672686
cm12_013.nd2 - C=3-1	746.84	493.75	368751.971	63058769
cm12_014.nd2 - C=3-1	390.981	706.537	276242.406	47239086
