label	area	mean	intden	rawintden
unc76_001.nd2 - C=3-1	697.087	455.776	317715.41	54331215
unc76_002.nd2 - C=3-1	292.961	459.17	134518.725	23003498
unc76_003.nd2 - C=3-1	569.553	440.903	251117.626	42942600
unc76_004.nd2 - C=3-1	336.187	432.327	145342.649	24854453
unc76_005.nd2 - C=3-2	403.77	447.668	180754.815	30910143
unc76_006.nd2 - C=3-1	208.636	415.386	86664.58	14820156
unc76_007.nd2 - C=3-1	681.696	427.043	291113.57	49782143
unc76_008.nd2 - C=3-1	271.698	611.265	166079.727	28400616
unc76_009.nd2 - C=3-1	1819.282	409.387	744790.175	127363527
unc76_010.nd2 - C=3-1	891.174	453.432	404087.181	69101299
unc76_011.nd2 - C=3-1	423.401	431.097	182526.813	31213165
unc76-m12_001.nd2 - C=3-1	499.059	407.298	203265.744	34759645
unc76-m12_002.nd2 - C=3-1	826.194	408.134	337197.338	57662740
unc76-m12_003.nd2 - C=3-2	1472.955	428.737	631509.621	107991882
unc76-m12_004.nd2 - C=3-1	572.384	446.763	255719.97	43729628
unc76-m12_005.nd2 - C=3-1	7760.574	405.705	3148505.777	538413118
unc76-m12_005.nd2 - C=3-2	502.912	422.958	212710.669	36374783
unc76-m12_006.nd2 - C=3-1	476.042	413.609	196895.21	33670246
unc76-m12_007.nd2 - C=3-1	362.35	410.219	148642.833	25418804
unc76-m12_008.nd2 - C=3-1	572.518	409.237	234295.665	40065945
unc76-m12_009.nd2 - C=3-1	437.055	419.526	183355.848	31354935
unc76-m12_010.nd2 - C=3-1	284.809	435.263	123966.868	21199068
unc76-m12_011.nd2 - C=3-1	1145.58	421.129	482437.482	82499664
unc76-m12_012.nd2 - C=3-1	562.238	528.857	297343.179	50847443
unc76-m12_013.nd2 - C=3-1	691.157	406.751	281128.933	48074711
unc76-m12_014.nd2 - C=3-1	282.441	544.754	153860.74	26311097
unc76-m12_015.nd2 - C=3-1	381.548	419.046	159886.333	27341509
unc76-m12_016.nd2 - C=3-1	475.633	601.438	286063.353	48918526
unc76-m12_017.nd2 - C=3-1	112.745	606.518	68381.692	11693674
unc76-m12_018.nd2 - C=3-1	2612.518	418.449	1093206.242	186944736
unc76-m12_019.nd2 - C=3-1	496.503	447.404	222137.506	37986828
unc76-m12_020.nd2 - C=3-1	318.299	487.22	155081.552	26519863
